Question ID (machine readable - do not modify),Response ID (machine readable - do not modify),Response value,Answer requirement
PSL_DATA_TYPE_CRASH_LOGS,PSL_DATA_TYPE_CRASH_LOGS_COLLECTED,true,Required
PSL_DATA_TYPE_CRASH_LOGS_SHARED,PSL_DATA_TYPE_CRASH_LOGS_NOT_SHARED,true,Required
PSL_DATA_TYPE_CRASH_LOGS_EPHEMERAL,PSL_DATA_TYPE_CRASH_LOGS_EPHEMERAL_TRUE,true,Required
PSL_DATA_TYPE_CRASH_LOGS_REQUIRED,PSL_DATA_TYPE_CRASH_LOGS_REQUIRED_TRUE,true,Required
PSL_DATA_TYPE_CRASH_LOGS_PURPOSE,PSL_DATA_TYPE_PURPOSE_ANALYTICS,true,Required
PSL_DATA_TYPE_DEVICE_ID,PSL_DATA_TYPE_DEVICE_ID_COLLECTED,true,Required
PSL_DATA_TYPE_DEVICE_ID_SHARED,PSL_DATA_TYPE_DEVICE_ID_NOT_SHARED,true,Required
PSL_DATA_TYPE_DEVICE_ID_EPHEMERAL,PSL_DATA_TYPE_DEVICE_ID_EPHEMERAL_TRUE,true,Required
PSL_DATA_TYPE_DEVICE_ID_REQUIRED,PSL_DATA_TYPE_DEVICE_ID_REQUIRED_TRUE,true,Required
PSL_DATA_TYPE_DEVICE_ID_PURPOSE,PSL_DATA_TYPE_PURPOSE_ANALYTICS,true,Required
PSL_DATA_TYPE_APP_INTERACTIONS,PSL_DATA_TYPE_APP_INTERACTIONS_COLLECTED,true,Required
PSL_DATA_TYPE_APP_INTERACTIONS_SHARED,PSL_DATA_TYPE_APP_INTERACTIONS_NOT_SHARED,true,Required
PSL_DATA_TYPE_APP_INTERACTIONS_EPHEMERAL,PSL_DATA_TYPE_APP_INTERACTIONS_EPHEMERAL_TRUE,true,Required
PSL_DATA_TYPE_APP_INTERACTIONS_REQUIRED,PSL_DATA_TYPE_APP_INTERACTIONS_REQUIRED_TRUE,true,Required
PSL_DATA_TYPE_APP_INTERACTIONS_PURPOSE,PSL_DATA_TYPE_PURPOSE_ANALYTICS,true,Required
PSL_DATA_TYPE_APP_INTERACTIONS_PURPOSE,PSL_DATA_TYPE_PURPOSE_APP_FUNCTIONALITY,true,Required
